OBJECTID,AREA_,PERIMETER,CLASS,AREA_ACRES,SHAPEAREA,SHAPELEN
249,349514706.66174,106368.52552,048,8024,349514706.75371,106368.525862
250,267637895.46127,186295.34171,005,6144,267637895.29176,186295.341503
251,73053944.97159,134162.54837,015,1677,73053944.89523,134162.548265
252,57297626.9378,77181.47367,020,1315,57297626.87886,77181.474737
253,1147589.20197,4754.20853,013,26,1147589.34334,4754.208775
254,318480872.77262,97443.79337,049,7311,318480872.91094,97443.793653
255,87777268.71879,56858.49985,051,2015,87777268.83754,56858.499469
256,4117441.54099,9686.67962,013,95,4117442.05723,9686.679883
257,502696161.30191,153906.61791,065,11540,502696160.33596,153906.618138
258,85378216.16263,54491.15203,002,1960,85378216.38103,54491.15184
259,458177732.53039,103386.91111,155,10518,458177732.32482,103386.911041
260,90184945.55875,50418.06968,062,2070,90184945.25651,50418.069399
261,14823631.39262,23026.63266,008,340,14823631.47401,23026.632854
262,17996537.56372,38788.83347,016,413,17996537.40299,38788.833556
263,640900.69471,4270.05162,020,15,640900.78388,4270.051664
264,11333194.69427,16056.10034,005,260,11333194.89724,16056.100681
265,144775161.22421,55290.56197,165,3324,144775161.97726,55290.56205
266,1518436.21464,9853.25679,019,35,1518436.24611,9853.256866
267,1471138.68185,5486.57388,007,34,1471138.76657,5486.573669
268,25410517.6644,56062.36632,013,583,25410517.60992,56062.366504
269,3288316.08768,7449.15518,019,75,3288316.18894,7449.155384
270,25793938.14463,51147.05366,020,592,25793938.24982,51147.053956
271,170928651.26469,62363.78866,166,3924,170928651.09011,62363.78852
272,14451184.15045,15734.3161,020,332,14451184.1891,15734.316115
273,10770489.15085,29788.28167,019,247,10770489.20959,29788.281327
274,4981769.02581,16667.22875,013,114,4981768.88563,16667.228789
275,3543873.35597,10029.25384,016,81,3543873.21227,10029.254437
276,554146099.41658,110994.32284,159,12721,554146099.32948,110994.323848
277,2792622.70449,8802.39247,014,64,2792622.56997,8802.392975
278,2931384.75305,8963.4028,002,67,2931384.77982,8963.402952
279,2388472.3096,13453.61216,002,55,2388472.25913,13453.612247
280,250438317.77215,108476.35939,061,5749,250438317.31726,108476.359891
281,3388516.03089,11990.8255,007,78,3388515.98079,11990.825346
282,2434458.77,10347.96788,013,56,2434458.91351,10347.967727
283,6563700.79709,12163.05348,013,151,6563700.66331,12163.053353
284,32729116.36344,34853.79407,020,751,32729116.32782,34853.794135
285,252275434.6779,63583.12484,165,5791,252275434.47658,63583.124967
286,1281826.62616,4724.84284,014,29,1281826.59197,4724.842587
287,6259497.56664,11515.45492,008,144,6259497.52081,11515.454864
288,10885334.96907,18785.05867,020,250,10885334.68762,18785.058878
289,14164993.88959,24400.16685,016,325,14164993.70462,24400.167043
290,695860.08868,4062.04725,019,16,695860.07822,4062.047508
291,44573864.47389,69758.6333,020,1023,44573864.24088,69758.632522
292,793379.98456,5419.94438,017,18,793380.02968,5419.944526
293,244332853.25187,181817.37098,005,5609,244332853.26607,181817.372025
294,4980808.11782,8483.79779,004,114,4980807.97526,8483.797897
295,487118684.19177,176451.32383,068,11183,487118684.61473,176451.323737
296,3364069.91979,7938.91023,017,77,3364070.04493,7938.910361
297,342324054.67271,119605.31578,153,7859,342324054.68159,119605.316457
298,1894961.61961,7605.92725,014,44,1894961.63034,7605.927675
299,418172230.08187,113267.98267,079,9600,418172229.39118,113267.982169
300,495639.62417,2909.09979,002,11,495639.64289,2909.099786
301,23049104.29252,57820.41772,999,529,23049104.28403,57820.417598
302,2854578.23053,8315.34783,020,66,2854578.27288,8315.347979
303,775143440.40174,323656.77416,015,17795,775143440.1569,323656.773854
304,1994583.74254,5845.48995,014,46,1994583.76706,5845.49006
305,89310369.6125,99527.77117,013,2050,89310369.44464,99527.771703
306,4023973.18428,8786.5113,016,92,4023973.09076,8786.511283
307,1122620.20171,4158.68066,018,26,1122620.19615,4158.680703
308,1221395.46483,5856.11806,016,28,1221395.43602,5856.117457
309,4573900.42179,9813.11109,020,105,4573900.39776,9813.110932
310,2123207.49903,7271.30387,011,49,2123207.22075,7271.303673
311,6007169.10601,10461.60446,016,138,6007169.05911,10461.604413
312,1370660.50446,5127.07629,016,31,1370660.57856,5127.07658
313,2272528.74242,7001.59538,073,52,2272528.85662,7001.595332
314,1131150.20056,4615.04936,004,26,1131150.28194,4615.049345
315,3670784.58793,10641.22177,016,84,3670784.59297,10641.221642
316,1011070.00843,4928.44899,015,23,1011070.01961,4928.449105
317,1031803.20783,3977.42,020,24,1031803.18949,3977.419876
318,89708661.88326,58256.33637,075,2059,89708662.34498,58256.336221
319,2680594.24905,6588.35484,008,62,2680594.1917,6588.354609
320,295372629.82798,81924.3628,085,6781,295372630.40352,81924.362983
321,109706465.80769,56322.89975,164,2519,109706465.19974,56322.899866
322,13004893.6318,35958.23332,007,299,13004893.44083,35958.233902
323,36374805.629,61117.97486,019,835,36374805.71862,61117.974225
324,8406109.46889,14283.83562,017,193,8406109.49566,14283.835643
325,25986175.32966,46231.60769,013,597,25986175.13363,46231.607641
326,2129819.78406,5460.10383,014,49,2129819.80607,5460.103951
327,22197301.61492,29016.96596,019,510,22197301.41122,29016.965864
328,2128206.02328,10288.97895,015,49,2128206.08618,10288.979075
329,1696136.7605,6661.21381,017,39,1696136.79016,6661.213907
330,706153.57671,3466.98025,016,16,706153.58697,3466.980169
331,1765491.45674,5040.41521,016,41,1765491.53656,5040.415466
332,11781423.76707,13892.96395,016,270,11781423.5642,13892.963972
333,18575652.55119,26736.57553,016,426,18575652.50884,26736.576015
334,1421096.77411,4547.14199,014,33,1421096.71414,4547.142435
335,451523.88605,2469.89748,019,10,451523.8168,2469.897235
336,595605.92131,4403.97746,014,14,595605.96768,4403.977373
337,5712357.58815,14019.61867,014,131,5712357.63736,14019.618564
338,11237265.36117,18971.39483,020,258,11237265.40419,18971.394832
339,377574025.38877,115408.59409,160,8668,377574025.74388,115408.59377
340,14107727.2167,18469.25666,002,324,14107727.41622,18469.256503
341,1354314.11058,6346.58607,017,31,1354314.18616,6346.586372
342,146244716.7693,50925.08972,046,3357,146244716.64416,50925.090303
343,11076677.26051,15670.96372,020,254,11076677.32135,15670.963496
344,1615577.37573,8412.12359,015,37,1615577.44009,8412.123586
345,95453456.09592,39992.82934,060,2191,95453456.36917,39992.828846
346,10686213.61707,18227.98904,005,245,10686213.58003,18227.989238
347,65665905.52213,60250.17238,002,1507,65665905.89075,60250.172467
348,627448.74761,4475.76118,013,14,627448.76794,4475.760574
349,2179881.40727,7076.58314,004,50,2179881.43384,7076.582603
350,148768554.29554,91495.06291,058,3415,148768553.9844,91495.063312
351,17796086.83427,30089.85465,017,409,17796087.0681,30089.854932
352,2474148.23621,7365.87457,020,57,2474148.1321,7365.874719
353,12099699.55103,19012.10793,007,278,12099699.58865,19012.108006
354,479195836.42594,91841.38646,083,11001,479195834.08673,91841.386339
355,8432757.45989,23177.80374,007,194,8432757.46541,23177.803792
356,5016343.57019,12862.58704,005,115,5016343.94385,12862.587117
357,2794993.15952,8187.33516,013,64,2794993.23924,8187.335194
358,35582459.94347,59351.89967,019,817,35582460.03474,59351.899764
